"","DonorSpp","Transplant","Treatment","response","SE","df","lower.CL","upper.CL"
"1","ARTR","ARTR","Control",0.00936742721690393,0.00216341654649205,1038,0.00595394748007719,0.0147379016959106
"2","BARE","ARTR","Control",0.0100971377510084,0.00223393650333906,1038,0.00654115962750297,0.0155862563472952
"3","HECO","ARTR","Control",0.0151069403798183,0.00280647924085556,1038,0.0104920573972147,0.0217516583258467
"4","POSE","ARTR","Control",0.014449204803982,0.00268486750361164,1038,0.0100344591147404,0.0208062554324153
"5","PSSP","ARTR","Control",0.0175022429054432,0.00335144265865962,1038,0.0120201490578273,0.0254845846958661
"6","ARTR","HECO","Control",0.0147146132548105,0.00273359499664219,1038,0.0102195787476289,0.021186767927091
"7","BARE","HECO","Control",0.0184012028655349,0.00352398481562131,1038,0.012636990912512,0.0267946910180425
"8","HECO","HECO","Control",0.0218853767375786,0.00384579184671548,1038,0.0155025322181075,0.0308962244494672
"9","POSE","HECO","Control",0.0177070061121516,0.00319706279304579,1038,0.0124244812272561,0.0252355055893967
"10","PSSP","HECO","Control",0.0198050449051192,0.00348022705449523,1038,0.0140289267305821,0.027959359345625
"11","ARTR","POSE","Control",0.0450525663241072,0.00771618469724944,1038,0.0321931489392655,0.0630486236750964
"12","BARE","POSE","Control",0.0560522281561679,0.00960010450978287,1038,0.0400531618205207,0.0784420539719142
"13","HECO","POSE","Control",0.054863554722442,0.00939651957538964,1038,0.0392037731171826,0.0767785699551234
"14","POSE","POSE","Control",0.04068074463914,0.00696741972475113,1038,0.0290691824680204,0.0569304962812605
"15","PSSP","POSE","Control",0.0464632754759187,0.00838910927834126,1038,0.032601902899396,0.0662180969808084
"16","ARTR","PSSP","Control",0.0439344851631512,0.00752469015102568,1038,0.0313942032569729,0.0614839297163061
"17","BARE","PSSP","Control",0.0488240909469293,0.00836213637002561,1038,0.0348881619832983,0.0683266678805033
"18","HECO","PSSP","Control",0.0416191502389505,0.00712814111134164,1038,0.0297397376373487,0.0582437440348163
"19","POSE","PSSP","Control",0.0475802108093944,0.00814909614467174,1038,0.0339993243032829,0.0665859250752172
"20","PSSP","PSSP","Control",0.0310540762302199,0.00545695487016206,1038,0.0219971912311624,0.0438399448537843
"21","ARTR","ARTR","Exclusion",0.0405498380542906,0.00802159815916352,1038,0.0275047213985521,0.0597820767715812
"22","BARE","ARTR","Exclusion",0.0608870713699322,0.0113112448675897,1038,0.0422872290152852,0.0876679684702726
"23","HECO","ARTR","Exclusion",0.0506807701226412,0.00970912603941617,1038,0.0348004307151045,0.0738077204058619
"24","POSE","ARTR","Exclusion",0.0390777517680717,0.00748628752750004,1038,0.026833108289712,0.0569099437441066
"25","PSSP","ARTR","Exclusion",0.097156323339185,0.0180491348819735,1038,0.0674769142756977,0.139890083387941
"26","ARTR","HECO","Exclusion",0.0575435582396498,0.0103886362093012,1038,0.0403780647890173,0.0820064337452006
"27","BARE","HECO","Exclusion",0.04863637647601,0.00931427436786312,1038,0.0334009386253774,0.0708212767086405
"28","HECO","HECO","Exclusion",0.08977084230619,0.016206794495356,1038,0.062991809990408,0.127934157306958
"29","POSE","HECO","Exclusion",0.0728736477752955,0.0135409589272076,1038,0.0506081579618604,0.104935029330252
"30","PSSP","HECO","Exclusion",0.0737782019982006,0.013320916198498,1038,0.0517679770313224,0.105146528843379
"31","ARTR","POSE","Exclusion",0.17389867366883,0.0297837480551556,1038,0.124262530606736,0.243361764452421
"32","BARE","POSE","Exclusion",0.210172028979311,0.0359963111120766,1038,0.150182331082394,0.294124358351092
"33","HECO","POSE","Exclusion",0.223890850152384,0.038345943255969,1038,0.159985369828703,0.313323104704065
"34","POSE","POSE","Exclusion",0.146204082840262,0.025040476020203,1038,0.104472845798502,0.2046046862779
"35","PSSP","POSE","Exclusion",0.195549560928902,0.0334919107324201,1038,0.139733574658177,0.273661007191936
"36","ARTR","PSSP","Exclusion",0.2047615880463,0.0350696610910247,1038,0.146316199916181,0.286552739636905
"37","BARE","PSSP","Exclusion",0.198545837800863,0.03488932237126,1038,0.140640176506259,0.280292948198144
"38","HECO","PSSP","Exclusion",0.229232600348072,0.0392608285661635,1038,0.163802416751381,0.320798594456001
"39","POSE","PSSP","Exclusion",0.192842989983975,0.0330283544245059,1038,0.137799544065605,0.269873307913519
"40","PSSP","PSSP","Exclusion",0.230196463814027,0.0394259101393803,1038,0.164491163312306,0.322147469112818
"41","ARTR","ARTR","Feedback",0.0152937687625948,0.00284118712773945,1038,0.0106218132621507,0.0220206623098136
"42","BARE","ARTR","Feedback",0.0165583698371514,0.00307611733693309,1038,0.0115001027585832,0.0238414923257314
"43","HECO","ARTR","Feedback",0.035909318602208,0.00687614855176143,1038,0.024661717043666,0.0522866741270175
"44","POSE","ARTR","Feedback",0.0293729442576716,0.0054567342049015,1038,0.0204000684009043,0.0422924981136845
"45","PSSP","ARTR","Feedback",0.0324320900344661,0.00641417267401608,1038,0.0220005851003573,0.0478096586616068
"46","ARTR","HECO","Feedback",0.0201052919767237,0.00344344748684194,1038,0.0143666102041283,0.0281362659476314
"47","BARE","HECO","Feedback",0.0397371238412473,0.00760912145337552,1038,0.0272905680878529,0.0578602470308218
"48","HECO","HECO","Feedback",0.0504394557412086,0.0091060958397514,1038,0.035393146933308,0.0718822403744803
"49","POSE","HECO","Feedback",0.0376479156194849,0.00699551751094369,1038,0.0261451391383702,0.0542114365117969
"50","PSSP","HECO","Feedback",0.0415147207569183,0.00711025540056099,1038,0.0296651156092821,0.0580976006372157
"51","ARTR","POSE","Feedback",0.0704517508478636,0.0120663208811665,1038,0.0503426084933962,0.0985934051903673
"52","BARE","POSE","Feedback",0.0710632436864934,0.0121710516893955,1038,0.0507795620708614,0.0994491562609153
"53","HECO","POSE","Feedback",0.0877617971857668,0.0150310246829506,1038,0.0627118239536822,0.122817876433706
"54","POSE","POSE","Feedback",0.0638870147244737,0.0109419739116205,1038,0.0456516542368308,0.0894064129468545
"55","PSSP","POSE","Feedback",0.0975860826402106,0.0167136369572357,1038,0.0697319497902771,0.136566431222748
"56","ARTR","PSSP","Feedback",0.0812974658641216,0.0139238741143638,1038,0.0580926158150522,0.113771395265963
"57","BARE","PSSP","Feedback",0.0791350962979721,0.0135535235590571,1038,0.0565474544361424,0.11074527630879
"58","HECO","PSSP","Feedback",0.105968966809718,0.0181493794204337,1038,0.0757220955384262,0.148297823070949
"59","POSE","PSSP","Feedback",0.0707178280428687,0.0121118921093539,1038,0.0505327389003196,0.098965765797213
"60","PSSP","PSSP","Feedback",0.0594855784476334,0.010188136827159,1038,0.0425065261083321,0.083246841537491
