"ARTR","HECO","POSE","PSSP","midRings"
1,1,1,1,1
1,0.43953,0.31923,0.18781,3
0.09122,0.16285,0.1028,0.08155,5
0.01253,0.05084,0.03332,0.04881,7
0.01253,0.0133,0.01083,0.02535,9
0.00132,0.00293,0.00352,0.01002,11
0.00132,0.00055,0.00114,0.00309,13
0.00132,9e-05,0.00037,0.00077,15
0.00132,1e-05,0.00012,0.00016,17
0.00132,0,4e-05,3e-05,19
0.00132,0,0,0,22.5
0,0,0,0,27.5
0,0,0,0,32.5
0,0,0,0,37.5
0,0,0,0,42.5
0,0,0,0,47.5
0,0,0,0,55
0,0,0,0,65
0,0,0,0,75
0,0,0,0,85
0,0,0,0,95
0,0,0,0,105
0,0,0,0,115
0,0,0,0,125
0,0,0,0,135
0,0,0,0,145
